number,value,datetime_start,datetime_complete,duration,params_atr_period,params_buy_signal_mode,params_fallback_signal,params_max_position_pct,params_max_positions,params_max_total_pct,params_overheat_ret5_threshold,params_overheat_rsi_threshold,params_signal_BOLL_BREAK,params_signal_HIGH_BREAK,params_signal_KDJ_GOLD,params_signal_MACD_GOLD,params_signal_MA_GOLD,params_signal_VOL_GOLD,params_stop_loss_mult,params_take_profit_mult,params_trailing_pct,params_trailing_start,params_weight_OVERHEAT,params_weight_PB,params_weight_PE_TTM,params_weight_RET_20,params_weight_RSI_1,params_weight_VOLUME_RATIO,state
20,-0.2540543608187963,2026-04-27 00:40:15.516523,2026-04-27 00:50:25.632512,0 days 00:10:10.115989,19,OR,KDJ_GOLD,0.14270756917335262,3,0.8405269830593544,0.165886426453265,65.11480022586827,off,on,on,on,on,off,3.4811505947243333,3.5295336688240133,0.11608304986989773,0.05136606700866667,0.25474646177277044,0.1307266284837269,0.10323394454138735,0.14667007566157683,0.32963016299843584,0.2413512633119977,COMPLETE
21,-0.8953953794514489,2026-04-27 00:40:19.876884,2026-04-27 00:50:17.613490,0 days 00:09:57.736606,19,OR,MA_GOLD,0.14702627855874084,3,0.8345748774768977,0.1587615859074271,77.95779520551176,off,on,on,on,on,off,1.7111839393724846,4.349539273050024,0.1987928626242826,0.04285463419414026,0.22579052955495316,0.1416220184282615,0.3382577456293179,0.010939672942068879,0.34218818529668854,0.24016896115003677,COMPLETE
22,0.35740864057291555,2026-04-27 00:40:33.149484,2026-04-27 00:50:34.916687,0 days 00:10:01.767203,19,OR,KDJ_GOLD,0.144215872206113,9,0.8267542160220527,0.17951219328200063,60.32153730223826,off,on,on,off,on,off,3.493339009179377,3.528884931319039,0.1920004911472694,0.05870662063711983,0.23827072161948604,0.13117271454576343,0.342500174359472,0.024752658656852874,0.33746146371262015,0.10932420684300398,COMPLETE
23,-1.2855831873709551,2026-04-27 00:41:01.995507,2026-04-27 00:51:10.597332,0 days 00:10:08.601825,19,OR,KDJ_GOLD,0.13803459353064126,9,0.6397475388593409,0.25541659803808664,60.47588622230157,off,on,on,on,on,off,1.7340289373246973,4.324406206117933,0.1322836289924376,0.05937947963141938,0.25105784404330966,0.12543480594620957,0.3475315839892958,0.017759756087316808,0.3381644277067614,0.23977350443420203,COMPLETE
24,-0.054692040961965616,2026-04-27 00:50:17.615499,2026-04-27 01:01:17.309560,0 days 00:10:59.694061,19,OR,KDJ_GOLD,0.24894819473969937,9,0.5788046455698937,0.18340764361981415,60.00707232051891,off,on,on,on,on,off,3.479794736482658,2.4981175342249626,0.09933990429560721,0.06158908309746397,0.13528904417406262,0.09553508443141172,0.39016626344360605,0.0607346772166063,0.3254979191013704,0.2918495546095533,COMPLETE
25,-1.2826127716234854,2026-04-27 00:50:25.635507,2026-04-27 01:01:25.080491,0 days 00:10:59.444984,16,OR,KDJ_GOLD,0.24363120931195248,9,0.6374374355174487,0.19098414995274016,60.47671775350975,off,on,on,on,on,off,3.0230768442155536,2.433476776997554,0.1318039130306419,0.060097596519544084,0.1364341473597872,0.2191999457565568,0.34568346882808776,0.07149082633835199,0.07662834708709496,0.10065696100415036,COMPLETE
26,-0.4965341505602972,2026-04-27 00:50:34.917699,2026-04-27 01:01:33.428150,0 days 00:10:58.510451,16,OR,KDJ_GOLD,0.0697104655587667,9,0.6580844335121876,0.1845245711411094,60.174970539089784,off,on,on,on,on,off,3.482468253188116,3.8535742371454447,0.10238684681357582,0.061227225057846814,0.2936805150914483,0.1057342118152761,0.3410446890512582,0.05825781120412317,0.35060737479152926,0.302459129791065,COMPLETE
27,-0.6079843235536391,2026-04-27 00:51:10.599526,2026-04-27 01:02:07.899220,0 days 00:10:57.299694,16,OR,KDJ_GOLD,0.0778806504004963,9,0.5241669582134441,0.18946713852210179,60.214997544248924,off,on,on,on,on,off,3.470222755673452,3.7457485486288693,0.1681906620678241,0.06181482646386627,0.3070579035979583,0.21719604206867704,0.1995852033395612,0.058601725333078246,0.36704108472346786,0.30840131548765964,COMPLETE
28,0.0,2026-04-27 01:01:17.310568,2026-04-27 01:11:05.387293,0 days 00:09:48.076725,16,OR,KDJ_GOLD,0.06331058348242646,9,0.5169686003250193,0.23426351837183698,61.789685301215385,off,on,on,on,on,off,2.9430396895528887,3.394613601531875,0.0785574060988537,0.057214923980418025,0.18832521335979496,0.21145867430482052,0.3021500305605635,0.04763535430156207,0.3674595139889164,0.10333535672207071,COMPLETE
29,0.2318719294046873,2026-04-27 01:01:25.082497,2026-04-27 01:11:13.007161,0 days 00:09:47.924664,15,AND,HIGH_BREAK,0.05086854379835187,7,0.5312990526434569,0.23376693383515998,62.91703695007284,off,on,on,off,off,off,2.5918074538022937,3.38120381642287,0.16833258050967587,0.06903831996039901,0.31777662472933865,0.052681452185720026,0.29928448409277864,0.13139866844730302,0.36835343986343067,0.307644019312355,COMPLETE
30,0.32033886328962446,2026-04-27 01:01:33.433662,2026-04-27 01:11:21.799858,0 days 00:09:48.366196,20,AND,KDJ_GOLD,0.1651661305883102,7,0.9996783683738043,0.23226683909617016,64.07598846533776,off,on,on,off,off,off,2.594489860877609,3.369022727170566,0.07407154175764499,0.07075376685884036,0.18317717071386985,0.05117867621326813,0.2093388866533742,0.13325522252912506,0.37022736848407656,0.19467648108339022,COMPLETE
31,0.46776274105537513,2026-04-27 01:02:07.901225,2026-04-27 01:12:03.813152,0 days 00:09:55.911927,20,AND,HIGH_BREAK,0.05421207931131185,7,0.8871843263520969,0.22160580931690776,64.32144868992299,off,on,on,off,off,off,2.4848477821066606,3.297878514617492,0.07126267096254547,0.06937367674914648,0.1848193612688844,0.0564335581377295,0.2973644881300026,0.13844754263119288,0.2967025591211058,0.20101774610042655,COMPLETE
32,1.0455006889564036,2026-04-27 01:11:05.402686,2026-04-27 01:21:45.006932,0 days 00:10:39.604246,20,AND,HIGH_BREAK,0.16091650720596282,7,0.87126294102782,0.20917520455001404,65.16739615843724,off,on,on,off,off,off,2.52737136401105,4.657498256238153,0.06733209263076825,0.09880375986700486,0.1769663315839621,0.07097336328698296,0.2922987412578141,0.134646806029804,0.2928625017110077,0.21354705431839663,COMPLETE
33,1.117180253736884,2026-04-27 01:11:13.010557,2026-04-27 01:21:55.905070,0 days 00:10:42.894513,20,AND,MA_GOLD,0.16703424520851315,6,0.7914238576477861,0.20575492456332128,64.88141196090727,off,on,on,off,off,off,2.35225799690875,4.604008009263735,0.07081654873549884,0.044452363287925095,0.16858364579626212,0.17665426372831783,0.2139968803215155,0.11698860688183549,0.1945216214369534,0.21109632145284296,COMPLETE
34,1.102023232043679,2026-04-27 01:11:21.801350,2026-04-27 01:22:05.112437,0 days 00:10:43.311087,20,AND,KDJ_GOLD,0.15973099318866216,6,0.8954841107882575,0.206471943402625,64.80313991050599,off,on,on,off,off,off,2.4845439122548445,4.792107145924229,0.06688440853824562,0.06892057097932236,0.17205640824148843,0.053475624975354324,0.20721793416684647,0.10953221478750921,0.299544343386171,0.19463330776165833,COMPLETE
35,-0.7294702079612982,2026-04-27 01:12:03.816698,2026-04-27 01:23:13.043049,0 days 00:11:09.226351,20,AND,HIGH_BREAK,0.08601665300099902,6,0.8801864083906811,0.21013132073915436,64.028274047927,off,on,on,off,off,off,2.2564419778802085,4.865036281192404,0.062012192950070266,0.04485675670494515,0.038040117633470434,0.17795448594065397,0.3665421703586483,0.10611614094665738,0.3007591067224413,0.21898214471400612,COMPLETE
